Feature,Importance
% Iron Concentrate,0.7640325747912178
hour,0.02752121714441142
month,0.025047821326350406
% Iron Feed,0.024580256711526707
% Silica Feed,0.02321732870513043
dayofweek,0.02057830282275786
Flotation Column 03 Level,0.014781203396837313
Flotation Column 01 Air Flow,0.01394740780211999
Ore Pulp pH,0.01341243331409512
Amina Flow,0.01203020625095355
Flotation Column 04 Air Flow,0.010591650187752821
Flotation Column 01 Level,0.009685424901468086
Ore Pulp Density,0.007729259583298927
Flotation Column 05 Air Flow,0.006565131602565276
Flotation Column 02 Level,0.004347472562885476
Flotation Column 06 Air Flow,0.003523291867730614
Flotation Column 02 Air Flow,0.0030562598135469073
Flotation Column 05 Level,0.003036656866021619
Starch Flow,0.002812077557587039
Flotation Column 07 Level,0.0024153189394638427
Flotation Column 04 Level,0.0017402715207559475
Flotation Column 06 Level,0.001613159499002243
Ore Pulp Flow,0.0015481575078296723
Flotation Column 03 Air Flow,0.0012011814927264772
Flotation Column 07 Air Flow,0.000985933831964327
